kanji,kana,hirakana
愛,あい,あい
愛情,あいじょう,あいじょう
合図,あいず,あいず
アイスクリーム,アイスクリーム,あいすくりーむ
愛する,あいする,あいする
相手,あいて,あいて
生憎,あいにく,あいにく
アイロン,アイロン,あいろん
アウト,アウト,あうと
明かり,あかり,あかり
空き,あき,あき
明らか,あきらか,あきらか
諦める,あきらめる,あきらめる
飽きる,あきる,あきる
握手,あくしゅ,あくしゅ
悪魔,あくま,あくま
開ける,あける,あける
明後日,あさって,あさって
預ける,あずける,あずける
汗,あせ,あせ
値,あたい,あたい
与える,あたえる,あたえる
暖かい,あたたかい,あたたかい
辺り,あたり,あたり
当たる,あたる,あたる
彼方此方,あちこち,あちこち
アッ,アッ,あっ
扱う,あつかう,あつかう
悪口,あっこう,あっこう
集まり,あつまり,あつまり
当てる,あてる,あてる
穴,あな,あな
浴びる,あびる,あびる
油,あぶら,あぶら
余り,あまり,あまり
誤り,あやまり,あやまり
粗い,あらい,あらい
嵐,あらし,あらし
新た,あらた,あらた
有らゆる,あらゆる,あらゆる
表す,あらわす,あらわす
現れ,あらわれ,あらわれ
現れる,あらわれる,あらわれる
有り難う,ありがとう,ありがとう
或,ある,ある
有る,ある,ある
或いは,あるいは,あるいは
アルバム,アルバム,あるばむ
泡,あわ,あわ
合わせる,あわせる,あわせる
哀れ,あわれ,あわれ
案,あん,あん
暗記,あんき,あんき
安定,あんてい,あんてい
案内,あんない,あんない
あんなに,あんなに,あんなに
否,いいえ,いいえ
委員,いいん,いいん
言う,いう,いう
意外,いがい,いがい
息,いき,いき
勢い,いきおい,いきおい
生き物,いきもの,いきもの
幾つ,いくつ,いくつ
幾ら,いくら,いくら
行けない,いけない,いけない
医師,いし,いし
意志,いし,いし
意思,いし,いし
維持,いじ,いじ
意識,いしき,いしき
異常,いじょう,いじょう
椅子,いす,いす
泉,いずみ,いずみ
何れ,いずれ,いずれ
以前,いぜん,いぜん
板,いた,いた
偉大,いだい,いだい
抱く,いだく,いだく
悪戯,いたずら,いたずら
頂きます,いただきます,いただきます
頂く,いただく,いただく
痛み,いたみ,いたみ
至る,いたる,いたる
位置,いち,いち
市,いち,いち
一時,いちじ,いちじ
一度に,いちどに,いちどに
市場,いちば,いちば
一番,いちばん,いちばん
一家,いっか,いっか
何時か,いつか,いつか
一種,いっしゅ,いっしゅ
一瞬,いっしゅん,いっしゅん
一生,いっしょう,いっしょう
一層,いっそう,いっそう
一体,いったい,いったい
一致,いっち,いっち
何時でも,いつでも,いつでも
一般,いっぱん,いっぱん
一方,いっぽう,いっぽう
何時までも,いつまでも,いつまでも
何時も,いつも,いつも
移動,いどう,いどう
従兄弟,いとこ,いとこ
稲,いね,いね
居眠り,いねむり,いねむり
命,いのち,いのち
違反,いはん,いはん
衣服,いふく,いふく
居間,いま,いま
今に,いまに,いまに
今にも,いまにも,いまにも
以来,いらい,いらい
依頼,いらい,いらい
苛々,いらいら,いらいら
いらっしゃい,いらっしゃい,いらっしゃい
医療,いりょう,いりょう
岩,いわ,いわ
祝い,いわい,いわい
祝う,いわう,いわう
言わば,いわば,いわば
所謂,いわゆる,いわゆる
インク,インク,いんく
印刷,いんさつ,いんさつ
