,rank,frequency,lemma
0,1,41309.5,の
1,2,23509.54,に
2,3,22216.8,は
3,4,20431.93,て
4,5,20326.59,を
5,6,20110.69,が
6,7,19235.55,だ
7,8,17292.36,た
8,9,16841.17,する
9,10,15095.29,と
10,11,9604.49,ます
11,12,9537.75,で
12,13,8189.0,ない
13,14,8140.22,いる
14,15,7900.34,も
15,16,6766.19,ある
16,18,5780.62,です
17,21,5451.05,こと
18,23,4744.78,か
19,27,4193.98,なる
20,28,4188.45,れる
21,29,4055.86,から
22,36,2702.29,ん
23,37,2691.51,よう
24,38,2496.04,いう
25,39,2463.71,う
26,40,2415.25,人
27,42,2255.67,この
28,43,2190.45,という
29,44,2131.88,思う
30,45,2127.42,その
31,47,2057.33,的
32,49,1950.65,年
33,50,1942.04,日
34,53,1769.37,私
35,54,1757.94,もの
36,55,1734.3,や
37,56,1732.41,ば
38,60,1479.29,それ
39,62,1451.45,者
40,63,1437.45,できる
41,64,1428.85,これ
42,67,1263.36,言う
43,71,1238.3,くる
44,72,1193.14,月
45,74,1186.32,として
46,75,1174.8,さん
47,79,1136.97,まで
48,80,1126.11,たい
49,83,1100.39,など
50,85,1089.02,中
51,87,1077.28,られる
52,88,1070.51,お
53,89,1022.92,ね
54,92,1000.99,へ
55,93,982.69,見る
56,94,980.59,ため
57,95,963.62,てる
58,97,940.51,そう
59,98,925.92,日本
60,99,924.53,おる
61,100,915.56,一
62,101,898.33,ので
63,102,895.11,いく
64,103,885.3,だけ
65,104,877.59,何
66,105,875.29,よ
67,107,840.65,自分
68,108,839.58,しまう
69,109,838.17,について
70,111,829.72,方
71,113,819.66,時
72,115,791.48,ぬ
73,116,782.05,問題
74,117,772.03,考える
75,119,748.27,せる
76,120,737.44,また
77,125,703.35,今
78,127,699.98,みる
79,129,695.44,でも
80,130,675.63,やる
81,131,661.99,わけ
82,132,650.23,ござる
83,133,642.6,たち
84,134,638.75,ところ
85,136,627.78,さ
86,137,615.98,いい
87,138,596.98,って
88,139,590.87,前
89,140,585.7,第
90,141,580.14,たり
91,142,577.58,性
92,143,568.04,行く
93,144,563.69,より
94,145,561.3,そして
95,146,560.8,けど
96,147,559.79,どう
97,148,551.97,出る
98,149,550.77,時間
99,150,549.7,会
100,151,537.33,書く
101,152,534.03,円
102,153,533.8,二
103,154,533.04,し
104,155,527.77,場合
105,156,526.2,持つ
106,157,515.52,必要
107,158,508.95,情報
108,160,495.56,しかし
109,163,481.44,とき
110,164,480.73,コメント
111,165,478.1,化
112,166,471.03,上
113,167,465.43,事
114,169,464.22,使う
115,170,462.43,行う
116,171,459.92,な
117,172,455.18,ご
118,173,453.58,話
119,174,453.14,くれる
120,176,446.16,ながら
121,177,442.95,よい
122,179,441.97,本
123,180,432.09,じゃ
124,181,430.8,ここ
125,182,429.1,分
126,183,426.14,十
127,184,425.43,目
128,185,424.65,多い
129,186,421.45,知る
130,189,412.67,今日
131,190,411.1,良い
132,191,408.98,関係
133,192,404.21,委員
134,193,403.3,後
135,194,401.69,かも
136,195,398.34,家
137,196,394.48,そういう
138,197,392.28,聞く
139,198,389.5,世界
140,199,389.34,気
141,200,383.39,点
142,201,382.65,万
143,202,381.6,べし
144,205,379.18,もう
145,206,379.03,わかる
146,207,377.46,バック
147,208,375.34,社会
148,209,375.02,読む
149,210,372.01,入る
150,212,369.72,来る
151,213,364.89,トラック
152,214,360.33,によって
153,215,360.12,仕事
154,216,358.01,同じ
155,217,355.9,数
156,218,354.41,記事
157,219,346.64,いただく
158,220,344.83,彼
159,221,344.38,大
160,222,343.9,国
161,223,336.74,等
162,224,330.72,くださる
163,226,329.46,回
164,227,328.05,三
165,228,326.9,とか
166,229,324.74,君
167,230,324.66,法
168,232,321.75,意味
169,233,319.16,力
170,234,319.0,以上
171,236,313.99,会社
172,238,310.05,よる
173,239,306.4,ほど
174,240,305.97,そんな
175,241,305.03,人間
176,244,298.63,現在
177,245,296.6,作る
178,246,292.74,企業
179,247,292.72,氏
180,248,288.24,ちょっと
181,249,287.31,間
182,250,286.66,可能
183,251,285.81,感じる
184,252,285.39,出す
185,253,285.14,研究
186,254,282.27,投稿
187,255,281.68,他
188,256,280.77,アメリカ
189,257,280.21,しれる
190,258,278.23,けれども
191,259,276.63,リンク
192,260,276.54,今回
193,261,274.0,いたす
194,262,273.68,高い
195,263,273.29,す
196,264,271.58,次
197,265,269.14,ら
198,266,267.39,言葉
199,267,265.75,こういう
200,268,263.75,おく
201,269,263.45,僕
