,rank,frequency,lemma,kana
0,1,41309.5,の,の
1,2,23509.54,に,に
2,3,22216.8,は,は
3,4,20431.93,て,て
4,5,20326.59,を,を
5,6,20110.69,が,が
6,7,19235.55,だ,だ
7,8,17292.36,た,た
8,9,16841.17,する,する
9,10,15095.29,と,と
10,11,9604.49,ます,ます
11,12,9537.75,で,で
12,13,8189.0,ない,ない
13,14,8140.22,いる,いる
14,15,7900.34,も,も
15,16,6766.19,ある,ある
16,18,5780.62,です,です
17,21,5451.05,こと,こと
18,23,4744.78,か,か
19,27,4193.98,なる,なる
20,28,4188.45,れる,れる
21,29,4055.86,から,から
22,36,2702.29,ん,ん
23,37,2691.51,よう,よう
24,38,2496.04,いう,いう
25,39,2463.71,う,う
26,40,2415.25,人,にん
27,42,2255.67,この,この
28,43,2190.45,という,という
29,44,2131.88,思う,おもう
30,45,2127.42,その,その
31,47,2057.33,的,てき
32,49,1950.65,年,ねん
33,50,1942.04,日,にち
34,53,1769.37,私,わたし
35,54,1757.94,もの,もの
36,55,1734.3,や,や
37,56,1732.41,ば,ば
38,60,1479.29,それ,それ
39,62,1451.45,者,もの
40,63,1437.45,できる,できる
41,64,1428.85,これ,これ
42,67,1263.36,言う,いう
43,71,1238.3,くる,くる
44,72,1193.14,月,がつ
45,74,1186.32,として,として
46,75,1174.8,さん,さん
47,79,1136.97,まで,まで
48,80,1126.11,たい,たい
49,83,1100.39,など,など
50,85,1089.02,中,なか
51,87,1077.28,られる,られる
52,88,1070.51,お,お
53,89,1022.92,ね,ね
54,92,1000.99,へ,へ
55,93,982.69,見る,みる
56,94,980.59,ため,ため
57,95,963.62,てる,てる
58,97,940.51,そう,そう
59,98,925.92,日本,にっぽん
60,99,924.53,おる,おる
61,100,915.56,一,いち
62,101,898.33,ので,ので
63,102,895.11,いく,いく
64,103,885.3,だけ,だけ
65,104,877.59,何,なに
66,105,875.29,よ,よ
67,107,840.65,自分,じぶん
68,108,839.58,しまう,しまう
69,109,838.17,について,について
70,111,829.72,方,ほう
71,113,819.66,時,とき
72,115,791.48,ぬ,ぬ
73,116,782.05,問題,もんだい
74,117,772.03,考える,かんがえる
75,119,748.27,せる,せる
76,120,737.44,また,また
77,125,703.35,今,いま
78,127,699.98,みる,みる
79,129,695.44,でも,でも
80,130,675.63,やる,やる
81,131,661.99,わけ,わけ
82,132,650.23,ござる,ござる
83,133,642.6,たち,たち
84,134,638.75,ところ,ところ
85,136,627.78,さ,さ
86,137,615.98,いい,いい
87,138,596.98,って,って
88,139,590.87,前,まえ
89,140,585.7,第,だい
90,141,580.14,たり,たり
91,142,577.58,性,せい
92,143,568.04,行く,いく
93,144,563.69,より,より
94,145,561.3,そして,そして
95,146,560.8,けど,けど
96,147,559.79,どう,どう
97,148,551.97,出る,でる
98,149,550.77,時間,じかん
99,150,549.7,会,かい
100,151,537.33,書く,かく
101,152,534.03,円,えん
102,153,533.8,二,に
103,154,533.04,し,し
104,155,527.77,場合,ばあい
105,156,526.2,持つ,もつ
106,157,515.52,必要,ひつよう
107,158,508.95,情報,じょうほう
108,160,495.56,しかし,しかし
109,163,481.44,とき,とき
110,164,480.73,コメント,コメント
111,165,478.1,化,か
112,166,471.03,上,うえ
113,167,465.43,事,こと
114,169,464.22,使う,つかう
115,170,462.43,行う,おこなう
116,171,459.92,な,な
117,172,455.18,ご,ご
118,173,453.58,話,はなし
119,174,453.14,くれる,くれる
120,176,446.16,ながら,ながら
121,177,442.95,よい,よい
122,179,441.97,本,ほん
123,180,432.09,じゃ,じゃ
124,181,430.8,ここ,ここ
125,182,429.1,分,ふん
126,183,426.14,十,じゅう
127,184,425.43,目,め
128,185,424.65,多い,おおい
129,186,421.45,知る,しる
130,189,412.67,今日,きょう
131,190,411.1,良い,よい
132,191,408.98,関係,かんけい
133,192,404.21,委員,いいん
134,193,403.3,後,のち
135,194,401.69,かも,かも
136,195,398.34,家,いえ
137,196,394.48,そういう,そういう
138,197,392.28,聞く,きく
139,198,389.5,世界,せかい
140,199,389.34,気,き
141,200,383.39,点,てん
142,201,382.65,万,まん
143,202,381.6,べし,べし
144,205,379.18,もう,もう
145,206,379.03,わかる,わかる
146,207,377.46,バック,バック
147,208,375.34,社会,しゃかい
148,209,375.02,読む,よむ
149,210,372.01,入る,いる
150,212,369.72,来る,くる
151,213,364.89,トラック,トラック
152,214,360.33,によって,によって
153,215,360.12,仕事,しごと
154,216,358.01,同じ,おなじ
155,217,355.9,数,かず
156,218,354.41,記事,きじ
157,219,346.64,いただく,いただく
158,220,344.83,彼,かれ
159,221,344.38,大,だい
160,222,343.9,国,くに
161,223,336.74,等,など
162,224,330.72,くださる,くださる
163,226,329.46,回,かい
164,227,328.05,三,さん
165,228,326.9,とか,とか
166,229,324.74,君,くん
167,230,324.66,法,ほう
168,232,321.75,意味,いみ
169,233,319.16,力,ちから
170,234,319.0,以上,いじょう
171,236,313.99,会社,かいしゃ
172,238,310.05,よる,よる
173,239,306.4,ほど,ほど
