,id,kanji,kana,hiragana,level,haskanji
0,0,会う,あう,あう,n5,True
1,1,青,あお,あお,n5,True
2,2,青い,あおい,あおい,n5,True
3,3,赤,あか,あか,n5,True
4,4,赤い,あかい,あかい,n5,True
5,5,明るい,あかるい,あかるい,n5,True
6,6,秋,あき,あき,n5,True
7,7,開く,あく,あく,n5,True
8,8,開ける,あける,あける,n5,True
9,9,上げる,あげる,あげる,n5,True
10,10,朝,あさ,あさ,n5,True
11,11,朝ご飯,あさごはん,あさごはん,n5,True
12,12,明後日,あさって,あさって,n5,True
13,13,足,あし,あし,n5,True
14,14,明日,あした,あした,n5,True
15,15,彼処,あそこ,あそこ,n5,True
16,16,遊ぶ,あそぶ,あそぶ,n5,True
17,17,暖かい,あたたかい,あたたかい,n5,True
18,18,頭,あたま,あたま,n5,True
19,19,新しい,あたらしい,あたらしい,n5,True
20,20,彼方,あちら,あちら,n5,True
21,21,厚い,あつい,あつい,n5,True
22,22,暑い,あつい,あつい,n5,True
23,23,熱い,あつい,あつい,n5,True
24,24,後,あと,あと,n5,True
25,25,貴方,あなた,あなた,n5,True
26,26,兄,あに,あに,n5,True
27,27,姉,あね,あね,n5,True
28,28,あのう,あのう,あのう,n5,False
29,29,アパート,アパート,あぱーと,n5,False
30,30,浴びる,あびる,あびる,n5,True
31,31,危ない,あぶない,あぶない,n5,True
32,32,甘い,あまい,あまい,n5,True
33,33,余り,あまり,あまり,n5,True
34,34,雨,あめ,あめ,n5,True
35,35,飴,あめ,あめ,n5,True
36,36,洗う,あらう,あらう,n5,True
37,37,有る,ある,ある,n5,True
38,38,歩く,あるく,あるく,n5,True
39,39,彼,あれ,あれ,n5,True
40,40,否,いいえ,いいえ,n5,True
41,41,言う,いう,いう,n5,True
42,42,家,いえ,いえ,n5,True
43,43,行く,いく,いく,n5,True
44,44,幾つ,いくつ,いくつ,n5,True
45,45,幾ら,いくら,いくら,n5,True
46,46,池,いけ,いけ,n5,True
47,47,医者,いしゃ,いしゃ,n5,True
48,48,椅子,いす,いす,n5,True
49,49,忙しい,いそがしい,いそがしい,n5,True
50,50,痛い,いたい,いたい,n5,True
51,51,一,いち,いち,n5,True
52,52,一日,いちにち,いちにち,n5,True
53,53,一番,いちばん,いちばん,n5,True
54,54,何時,いつ,いつ,n5,True
55,55,五日,いつか,いつか,n5,True
56,56,一昨年,いっさくねん,いっさくねん,n5,True
57,57,一緒,いっしょ,いっしょ,n5,True
58,58,五つ,いつつ,いつつ,n5,True
59,59,何時も,いつも,いつも,n5,True
60,60,犬,いぬ,いぬ,n5,True
61,61,今,いま,いま,n5,True
62,62,意味,いみ,いみ,n5,True
63,63,妹,いもうと,いもうと,n5,True
64,64,嫌,いや,いや,n5,True
65,65,入口,いりぐち,いりぐち,n5,True
66,66,居る,いる,いる,n5,True
67,67,要る,いる,いる,n5,True
68,68,入れる,いれる,いれる,n5,True
69,69,色,いろ,いろ,n5,True
70,70,色々,いろいろ,いろいろ,n5,True
71,71,上,うえ,うえ,n5,True
72,72,後ろ,うしろ,うしろ,n5,True
73,73,薄い,うすい,うすい,n5,True
74,74,歌,うた,うた,n5,True
75,75,歌う,うたう,うたう,n5,True
76,76,生まれる,うまれる,うまれる,n5,True
77,77,海,うみ,うみ,n5,True
78,78,売る,うる,うる,n5,True
79,79,煩い,うるさい,うるさい,n5,True
80,80,上着,うわぎ,うわぎ,n5,True
81,81,絵,え,え,n5,True
82,82,映画,えいが,えいが,n5,True
83,83,映画館,えいがかん,えいがかん,n5,True
84,84,英語,えいご,えいご,n5,True
85,85,ええ,ええ,ええ,n5,False
86,86,駅,えき,えき,n5,True
87,87,エレベーター,エレベーター,えれべーたー,n5,False
88,88,鉛筆,えんぴつ,えんぴつ,n5,True
89,89,美味しい,おいしい,おいしい,n5,True
90,90,多い,おおい,おおい,n5,True
91,91,大きい,おおきい,おおきい,n5,True
92,92,大きな,おおきな,おおきな,n5,True
93,93,大勢,おおぜい,おおぜい,n5,True
94,94,お母さん,おかあさん,おかあさん,n5,True
95,95,お菓子,おかし,おかし,n5,True
96,96,お金,おかね,おかね,n5,True
97,97,起きる,おきる,おきる,n5,True
98,98,置く,おく,おく,n5,True
99,99,奥さん,おくさん,おくさん,n5,True
100,100,お酒,おさけ,おさけ,n5,True
101,101,お皿,おさら,おさら,n5,True
102,102,教える,おしえる,おしえる,n5,True
103,103,押す,おす,おす,n5,True
104,104,遅い,おそい,おそい,n5,True
105,105,お茶,おちゃ,おちゃ,n5,True
106,106,お手洗い,おてあらい,おてあらい,n5,True
107,107,お父さん,おとうさん,おとうさん,n5,True
108,108,弟,おとうと,おとうと,n5,True
109,109,男,おとこ,おとこ,n5,True
110,110,男の子,おとこのこ,おとこのこ,n5,True
111,111,一昨日,おととい,おととい,n5,True
112,112,大人,おとな,おとな,n5,True
113,113,お腹,おなか,おなか,n5,True
114,114,同じ,おなじ,おなじ,n5,True
115,115,お兄さん,おにいさん,おにいさん,n5,True
116,116,お姉さん,おねえさん,おねえさん,n5,True
117,117,お祖母さん,おばあさん,おばあさん,n5,True
118,118,伯母さん,おばさん,おばさん,n5,True
119,119,お風呂,おふろ,おふろ,n5,True
120,120,お弁当,おべんとう,おべんとう,n5,True
121,121,覚える,おぼえる,おぼえる,n5,True
122,122,お巡りさん,おまわりさん,おまわりさん,n5,True
123,123,重い,おもい,おもい,n5,True
124,124,面白い,おもしろい,おもしろい,n5,True
125,125,泳ぐ,およぐ,およぐ,n5,True
126,126,降りる,おりる,おりる,n5,True
127,127,終わる,おわる,おわる,n5,True
128,128,音楽,おんがく,おんがく,n5,True
129,129,女,おんな,おんな,n5,True
130,130,女の子,おんなのこ,おんなのこ,n5,True
131,131,外国,がいこく,がいこく,n5,True
132,132,外国人,がいこくじん,がいこくじん,n5,True
133,133,会社,かいしゃ,かいしゃ,n5,True
134,134,階段,かいだん,かいだん,n5,True
135,135,買い物,かいもの,かいもの,n5,True
136,136,買う,かう,かう,n5,True
137,137,返す,かえす,かえす,n5,True
138,138,帰る,かえる,かえる,n5,True
139,139,掛かる,かかる,かかる,n5,True
140,140,鍵,かぎ,かぎ,n5,True
141,141,書く,かく,かく,n5,True
142,142,学生,がくせい,がくせい,n5,True
143,143,掛ける,かける,かける,n5,True
144,144,傘,かさ,かさ,n5,True
145,145,貸す,かす,かす,n5,True
146,146,風,かぜ,かぜ,n5,True
147,147,風邪,かぜ,かぜ,n5,True
148,148,家族,かぞく,かぞく,n5,True
149,149,方,かた,かた,n5,True
150,150,学校,がっこう,がっこう,n5,True
151,151,カップ,カップ,かっぷ,n5,False
152,152,家庭,かてい,かてい,n5,True
153,153,角,かど,かど,n5,True
154,154,鞄,かばん,かばん,n5,True
155,155,花瓶,かびん,かびん,n5,True
156,156,紙,かみ,かみ,n5,True
157,157,カメラ,カメラ,かめら,n5,False
158,158,火曜日,かようび,かようび,n5,True
159,159,辛い,からい,からい,n5,True
160,160,体,からだ,からだ,n5,True
161,161,借りる,かりる,かりる,n5,True
162,162,軽い,かるい,かるい,n5,True
163,163,咖哩,カレー,かれー,n5,True
164,164,カレンダー,カレンダー,かれんだー,n5,False
165,165,川,かわ,かわ,n5,True
166,166,可愛い,かわいい,かわいい,n5,True
167,167,漢字,かんじ,かんじ,n5,True
168,168,木,き,き,n5,True
169,169,黄色,きいろ,きいろ,n5,True
170,170,黄色い,きいろい,きいろい,n5,True
171,171,消える,きえる,きえる,n5,True
172,172,聞く,きく,きく,n5,True
173,173,北,きた,きた,n5,True
174,174,ギター,ギター,ぎたー,n5,False
175,175,汚い,きたない,きたない,n5,True
176,176,喫茶店,きっさてん,きっさてん,n5,True
177,177,切手,きって,きって,n5,True
178,178,切符,きっぷ,きっぷ,n5,True
179,179,昨日,きのう,きのう,n5,True
180,180,牛肉,ぎゅうにく,ぎゅうにく,n5,True
181,181,牛乳,ぎゅうにゅう,ぎゅうにゅう,n5,True
182,182,今日,きょう,きょう,n5,True
183,183,教室,きょうしつ,きょうしつ,n5,True
184,184,兄弟,きょうだい,きょうだい,n5,True
185,185,去年,きょねん,きょねん,n5,True
186,186,嫌い,きらい,きらい,n5,True
187,187,切る,きる,きる,n5,True
188,188,着る,きる,きる,n5,True
189,189,綺麗,きれい,きれい,n5,True
190,190,キロ,キロ,きろ,n5,False
191,191,瓩,キログラム,きろぐらむ,n5,True
192,192,粁,キロメートル,きろめーとる,n5,True
193,193,銀行,ぎんこう,ぎんこう,n5,True
194,194,金曜日,きんようび,きんようび,n5,True
195,195,薬,くすり,くすり,n5,True
196,196,下さい,ください,ください,n5,True
197,197,果物,くだもの,くだもの,n5,True
198,198,口,くち,くち,n5,True
199,199,靴,くつ,くつ,n5,True
200,200,靴下,くつした,くつした,n5,True
201,201,国,くに,くに,n5,True
202,202,曇り,くもり,くもり,n5,True
203,203,曇る,くもる,くもる,n5,True
204,204,暗い,くらい,くらい,n5,True
205,205,クラス,クラス,くらす,n5,False
206,206,瓦,グラム,ぐらむ,n5,True
207,207,来る,くる,くる,n5,True
208,208,車,くるま,くるま,n5,True
209,209,黒,くろ,くろ,n5,True
210,210,黒い,くろい,くろい,n5,True
211,211,警官,けいかん,けいかん,n5,True
212,212,今朝,けさ,けさ,n5,True
213,213,消す,けす,けす,n5,True
214,214,結構,けっこう,けっこう,n5,True
215,215,結婚,けっこん,けっこん,n5,True
216,216,月曜日,げつようび,げつようび,n5,True
217,217,玄関,げんかん,げんかん,n5,True
218,218,元気,げんき,げんき,n5,True
219,219,五,ご,ご,n5,True
220,220,コート,コート,こーと,n5,False
221,221,珈琲,コーヒー,こーひー,n5,True
222,222,公園,こうえん,こうえん,n5,True
223,223,交差点,こうさてん,こうさてん,n5,True
224,224,紅茶,こうちゃ,こうちゃ,n5,True
225,225,交番,こうばん,こうばん,n5,True
226,226,声,こえ,こえ,n5,True
227,227,此処,ここ,ここ,n5,True
228,228,午後,ごご,ごご,n5,True
229,229,九日,ここのか,ここのか,n5,True
230,230,九つ,ここのつ,ここのつ,n5,True
231,231,午前,ごぜん,ごぜん,n5,True
232,232,答える,こたえる,こたえる,n5,True
233,233,此方,こちら,こちら,n5,True
